,word,label
0,krungsri,NotUse
1,กรุงศรี,NotUse
2,Null,NotUse
3,Amemberof(9)MUFS,NotUse
4,aglobalfinancialgroup,NotUse
5,โอนเงินสําเร็จ,NotUse
10,XXX-XXX-2456,NotUse
11,จํานวนเงิน42.00THB,NotUse
12,Null,NotUse
13,ON,NotUse
14,krungsri,NotUse
15,กรุงศรี,NotUse
16,Null,NotUse
17,26(หนหด,NotUse
18,ey,NotUse
19,๐2๐a,NotUse
20,ชาระดวยQRสาเรจ,NotUse
24,"MCTHAICO.,LTD.",NotUse
25,ว๐๐๐๐%-37-401,NotUse
26,Null,NotUse
27,46029418516705A51224,NotUse
29,Null,NotUse
31,ON,NotUse
32,krungsri,NotUse
33,กรุงศรี,NotUse
34,Null,NotUse
35,Null,NotUse
36,of@)หบทร,NotUse
37,ilญูหอนแร,NotUse
38,Scantopayสําเร็จ,NotUse
43,006-990-0-XXXX061-0,NotUse
45,Null,NotUse
47,ON,NotUse
48,krungsri,NotUse
49,กรงศรี,NotUse
50,Null,NotUse
51,หนศร,NotUse
52,แล,NotUse
53,Scantopayสําเร็จ,NotUse
58,004-999-0-XXXX905-8,NotUse
60,Null,NotUse
62,ON,NotUse
63,krungsri,NotUse
64,กรุงศรี,NotUse
65,Null,NotUse
66,Null,NotUse
67,memberof@)MUFG,NotUse
68,1glabalfinancialgroups,NotUse
69,โอนเงินสําเร็จ,NotUse
74,XXXXXX1953,NotUse
76,Null,NotUse
77,ON,NotUse
78,krungsri,NotUse
79,กรงศรี,NotUse
80,Null,NotUse
81,หนศร,NotUse
82,แล,NotUse
83,Scantopayสําเร็จ,NotUse
88,004-999-0-XXXX905-8,NotUse
90,Null,NotUse
92,ON,NotUse
93,krungsri,NotUse
94,กรงศรี,NotUse
95,Null,NotUse
96,หนศร,NotUse
97,แล,NotUse
98,Scantopayสําเร็จ,NotUse
103,004-999-0-XXXX905-8,NotUse
105,Null,NotUse
107,ON,NotUse
108,krungsri,NotUse
109,กรงศรี,NotUse
110,Null,NotUse
111,หนศร,NotUse
112,แล,NotUse
113,Scantopayสําเร็จ,NotUse
118,004-999-0-XXXX905-8,NotUse
120,Null,NotUse
122,ON,NotUse
123,krungsri,NotUse
124,กรงศรี,NotUse
125,Null,NotUse
126,หนศร,NotUse
127,แล,NotUse
128,Scantopayสําเร็จ,NotUse
133,X-XXXX-XXXX1-85-4,NotUse
135,Null,NotUse
137,as,NotUse
138,krungsri,NotUse
139,กรงศรี,NotUse
140,Null,NotUse
141,อหนศอ,NotUse
142,โอนเงินสําเร็จ,NotUse
146,MS.NANNAPATAUTALUET,NotUse
147,XXX-1-48061-X,NotUse
149,Null,NotUse
150,ON,NotUse
151,krungsri,NotUse
152,กรงศรี,NotUse
153,Null,NotUse
154,หนศร,NotUse
155,แล,NotUse
156,Scantopayสําเร็จ,NotUse
161,004-999-0-XXXX905-8,NotUse
163,Null,NotUse
165,ON,NotUse
166,krungsri,NotUse
167,กรงศรี,NotUse
168,Null,NotUse
169,หนศร,NotUse
