,word,Bank,label
0,4.00,scb,Amount
1,9.00,scb,Amount
2,6.00,scb,Amount
3,6.00,scb,Amount
4,2.00,scb,Amount
5,5.00,scb,Amount
6,6.00,scb,Amount
7,1.00,scb,Amount
8,2.00,scb,Amount
9,4.00,scb,Amount
10,7.00,scb,Amount
11,2.00,scb,Amount
12,7.00,scb,Amount
13,7.00,scb,Amount
14,2.00,scb,Amount
15,5.00,scb,Amount
16,6.00,scb,Amount
17,1.00,scb,Amount
18,4.00,scb,Amount
19,8.00,scb,Amount
20,5.00,scb,Amount
21,5.00,scb,Amount
22,8.00,scb,Amount
23,7.00,scb,Amount
24,9.00,scb,Amount
25,1.00,scb,Amount
26,5.00,scb,Amount
27,1.00,scb,Amount
28,4.00,scb,Amount
29,3.00,scb,Amount
30,7.00,scb,Amount
31,6.00,scb,Amount
32,5.00,scb,Amount
33,1.00,scb,Amount
34,8.00,scb,Amount
35,3.00,scb,Amount
36,1.00,scb,Amount
37,6.00,scb,Amount
38,9.00,scb,Amount
39,3.00,scb,Amount
40,7.00,scb,Amount
41,3.00,scb,Amount
42,4.00,scb,Amount
43,2.00,scb,Amount
44,8.00,scb,Amount
45,5.00,scb,Amount
46,6.00,scb,Amount
47,1.00,scb,Amount
48,7.00,scb,Amount
49,7.00,scb,Amount
50,4.00,scb,Amount
51,2.00,scb,Amount
52,7.00,scb,Amount
53,5.00,scb,Amount
54,1.00,scb,Amount
55,2.00,scb,Amount
56,2.00,scb,Amount
57,3.00,scb,Amount
58,8.00,scb,Amount
59,7.00,scb,Amount
60,1.00,scb,Amount
61,4.00,scb,Amount
62,2.00,scb,Amount
63,9.00,scb,Amount
64,7.00,scb,Amount
65,6.00,scb,Amount
66,2.00,scb,Amount
67,2.00,scb,Amount
68,7.00,scb,Amount
69,4.00,scb,Amount
70,4.00,scb,Amount
71,9.00,scb,Amount
72,8.00,scb,Amount
73,3.00,scb,Amount
74,9.00,scb,Amount
75,6.00,scb,Amount
76,4.00,scb,Amount
77,7.00,scb,Amount
78,7.00,scb,Amount
79,4.00,scb,Amount
80,7.00,scb,Amount
81,3.00,scb,Amount
82,7.00,scb,Amount
83,3.00,scb,Amount
84,8.00,scb,Amount
85,3.00,scb,Amount
86,7.00,scb,Amount
87,8.00,scb,Amount
88,6.00,scb,Amount
89,2.00,scb,Amount
90,2.00,scb,Amount
91,9.00,scb,Amount
92,9.00,scb,Amount
93,7.00,scb,Amount
94,8.00,scb,Amount
95,4.00,scb,Amount
96,1.00,scb,Amount
97,1.00,scb,Amount
98,5.00,scb,Amount
99,5.00,scb,Amount
100,67.00,scb,Amount
101,49.00,scb,Amount
102,37.00,scb,Amount
103,61.00,scb,Amount
104,17.00,scb,Amount
105,29.00,scb,Amount
106,50.00,scb,Amount
107,71.00,scb,Amount
108,82.00,scb,Amount
109,97.00,scb,Amount
110,26.00,scb,Amount
111,72.00,scb,Amount
112,58.00,scb,Amount
113,22.00,scb,Amount
114,69.00,scb,Amount
115,13.00,scb,Amount
116,76.00,scb,Amount
117,10.00,scb,Amount
118,39.00,scb,Amount
119,57.00,scb,Amount
120,74.00,scb,Amount
121,63.00,scb,Amount
122,99.00,scb,Amount
123,87.00,scb,Amount
124,26.00,scb,Amount
125,44.00,scb,Amount
126,65.00,scb,Amount
127,48.00,scb,Amount
128,41.00,scb,Amount
129,41.00,scb,Amount
130,68.00,scb,Amount
131,28.00,scb,Amount
132,49.00,scb,Amount
133,63.00,scb,Amount
134,86.00,scb,Amount
135,52.00,scb,Amount
136,98.00,scb,Amount
137,14.00,scb,Amount
138,96.00,scb,Amount
139,35.00,scb,Amount
140,75.00,scb,Amount
141,90.00,scb,Amount
142,53.00,scb,Amount
143,98.00,scb,Amount
144,73.00,scb,Amount
145,80.00,scb,Amount
146,52.00,scb,Amount
147,98.00,scb,Amount
148,98.00,scb,Amount
149,72.00,scb,Amount
150,66.00,scb,Amount
151,41.00,scb,Amount
152,30.00,scb,Amount
153,84.00,scb,Amount
154,49.00,scb,Amount
155,15.00,scb,Amount
156,82.00,scb,Amount
157,50.00,scb,Amount
158,63.00,scb,Amount
159,49.00,scb,Amount
160,69.00,scb,Amount
161,71.00,scb,Amount
162,59.00,scb,Amount
163,63.00,scb,Amount
164,81.00,scb,Amount
165,62.00,scb,Amount
166,69.00,scb,Amount
167,93.00,scb,Amount
168,96.00,scb,Amount
169,50.00,scb,Amount
170,22.00,scb,Amount
171,39.00,scb,Amount
172,32.00,scb,Amount
173,30.00,scb,Amount
174,28.00,scb,Amount
175,61.00,scb,Amount
176,34.00,scb,Amount
177,75.00,scb,Amount
178,14.00,scb,Amount
179,20.00,scb,Amount
180,70.00,scb,Amount
181,65.00,scb,Amount
182,83.00,scb,Amount
183,28.00,scb,Amount
184,49.00,scb,Amount
185,96.00,scb,Amount
186,70.00,scb,Amount
187,74.00,scb,Amount
188,22.00,scb,Amount
189,73.00,scb,Amount
190,63.00,scb,Amount
191,29.00,scb,Amount
192,62.00,scb,Amount
193,49.00,scb,Amount
194,35.00,scb,Amount
195,50.00,scb,Amount
196,25.00,scb,Amount
197,19.00,scb,Amount
198,87.00,scb,Amount
199,90.00,scb,Amount
200,39.00,scb,Amount
201,87.00,scb,Amount
202,13.00,scb,Amount
203,20.00,scb,Amount
204,51.00,scb,Amount
205,19.00,scb,Amount
206,31.00,scb,Amount
207,36.00,scb,Amount
208,27.00,scb,Amount
209,83.00,scb,Amount
210,70.00,scb,Amount
211,15.00,scb,Amount
212,80.00,scb,Amount
213,49.00,scb,Amount
214,61.00,scb,Amount
215,32.00,scb,Amount
216,44.00,scb,Amount
217,42.00,scb,Amount
218,82.00,scb,Amount
219,79.00,scb,Amount
220,14.00,scb,Amount
221,29.00,scb,Amount
222,12.00,scb,Amount
223,92.00,scb,Amount
224,51.00,scb,Amount
225,85.00,scb,Amount
226,80.00,scb,Amount
227,71.00,scb,Amount
228,97.00,scb,Amount
229,96.00,scb,Amount
230,55.00,scb,Amount
231,37.00,scb,Amount
232,39.00,scb,Amount
233,81.00,scb,Amount
234,16.00,scb,Amount
235,16.00,scb,Amount
236,69.00,scb,Amount
237,48.00,scb,Amount
238,37.00,scb,Amount
239,69.00,scb,Amount
240,28.00,scb,Amount
241,84.00,scb,Amount
242,67.00,scb,Amount
243,69.00,scb,Amount
244,10.00,scb,Amount
245,79.00,scb,Amount
246,61.00,scb,Amount
247,97.00,scb,Amount
248,43.00,scb,Amount
249,19.00,scb,Amount
250,70.00,scb,Amount
251,93.00,scb,Amount
252,41.00,scb,Amount
253,84.00,scb,Amount
254,82.00,scb,Amount
255,90.00,scb,Amount
256,96.00,scb,Amount
257,29.00,scb,Amount
258,86.00,scb,Amount
259,94.00,scb,Amount
260,35.00,scb,Amount
261,34.00,scb,Amount
262,45.00,scb,Amount
263,69.00,scb,Amount
264,69.00,scb,Amount
265,21.00,scb,Amount
266,83.00,scb,Amount
267,58.00,scb,Amount
268,14.00,scb,Amount
269,72.00,scb,Amount
270,79.00,scb,Amount
271,98.00,scb,Amount
272,38.00,scb,Amount
273,81.00,scb,Amount
274,10.00,scb,Amount
275,47.00,scb,Amount
276,90.00,scb,Amount
277,42.00,scb,Amount
278,80.00,scb,Amount
279,75.00,scb,Amount
280,36.00,scb,Amount
281,16.00,scb,Amount
282,99.00,scb,Amount
283,39.00,scb,Amount
284,15.00,scb,Amount
285,62.00,scb,Amount
286,87.00,scb,Amount
287,61.00,scb,Amount
288,19.00,scb,Amount
289,77.00,scb,Amount
290,22.00,scb,Amount
291,73.00,scb,Amount
292,51.00,scb,Amount
293,40.00,scb,Amount
294,30.00,scb,Amount
295,38.00,scb,Amount
296,46.00,scb,Amount
297,38.00,scb,Amount
298,52.00,scb,Amount
299,16.00,scb,Amount
300,38.00,scb,Amount
301,23.00,scb,Amount
302,94.00,scb,Amount
303,54.00,scb,Amount
304,92.00,scb,Amount
305,10.00,scb,Amount
306,93.00,scb,Amount
307,66.00,scb,Amount
308,21.00,scb,Amount
309,66.00,scb,Amount
310,32.00,scb,Amount
311,97.00,scb,Amount
312,14.00,scb,Amount
313,35.00,scb,Amount
314,31.00,scb,Amount
315,24.00,scb,Amount
316,75.00,scb,Amount
317,34.00,scb,Amount
318,28.00,scb,Amount
319,88.00,scb,Amount
320,90.00,scb,Amount
321,27.00,scb,Amount
322,40.00,scb,Amount
323,92.00,scb,Amount
324,37.00,scb,Amount
325,16.00,scb,Amount
326,22.00,scb,Amount
327,78.00,scb,Amount
328,18.00,scb,Amount
329,48.00,scb,Amount
330,32.00,scb,Amount
331,51.00,scb,Amount
332,23.00,scb,Amount
333,47.00,scb,Amount
334,33.00,scb,Amount
335,96.00,scb,Amount
336,32.00,scb,Amount
337,22.00,scb,Amount
338,50.00,scb,Amount
339,32.00,scb,Amount
340,31.00,scb,Amount
341,64.00,scb,Amount
342,61.00,scb,Amount
343,69.00,scb,Amount
344,12.00,scb,Amount
345,20.00,scb,Amount
346,69.00,scb,Amount
347,46.00,scb,Amount
348,96.00,scb,Amount
349,28.00,scb,Amount
350,58.00,scb,Amount
351,79.00,scb,Amount
352,73.00,scb,Amount
353,46.00,scb,Amount
354,91.00,scb,Amount
355,58.00,scb,Amount
356,86.00,scb,Amount
357,28.00,scb,Amount
358,46.00,scb,Amount
359,10.00,scb,Amount
