,word,Bank,label
0,13 ก.ย. 2565 18:08,scb,Timing
1,21 ก.พ. 2564 22:45,scb,Timing
2,24 พ.ค. 2564 03:51,scb,Timing
3,01 พ.ค. 2563 07:09,scb,Timing
4,06 ต.ค. 2562 04:33,scb,Timing
5,26 พ.ย. 2563 03:46,scb,Timing
6,21 ม.ค. 2564 06:38,scb,Timing
7,10 ม.ค. 2563 07:12,scb,Timing
8,08 ก.ค. 2564 20:25,scb,Timing
9,20 มี.ค. 2562 12:25,scb,Timing
10,29 ก.ค. 2563 07:29,scb,Timing
11,03 พ.ค. 2562 01:34,scb,Timing
12,13 ก.ค. 2565 11:02,scb,Timing
13,02 พ.ย. 2565 02:55,scb,Timing
14,04 เม.ย. 2564 22:43,scb,Timing
15,04 พ.ค. 2562 13:41,scb,Timing
16,16 พ.ค. 2563 03:58,scb,Timing
17,01 ก.ค. 2562 04:39,scb,Timing
18,16 ก.ค. 2566 23:54,scb,Timing
19,22 พ.ค. 2564 22:46,scb,Timing
20,19 ก.ค. 2564 17:35,scb,Timing
21,22 ก.ค. 2564 22:51,scb,Timing
22,21 ธ.ค. 2564 16:21,scb,Timing
23,31 มิ.ย. 2565 03:40,scb,Timing
24,28 ส.ค. 2566 09:54,scb,Timing
25,31 ก.ย. 2566 21:37,scb,Timing
26,25 ม.ค. 2562 07:33,scb,Timing
27,22 ธ.ค. 2566 03:19,scb,Timing
28,08 มิ.ย. 2564 17:45,scb,Timing
29,16 มิ.ย. 2563 08:06,scb,Timing
30,24 มี.ค. 2566 09:09,scb,Timing
31,02 พ.ค. 2562 16:18,scb,Timing
32,11 มี.ค. 2565 15:47,scb,Timing
33,11 เม.ย. 2565 13:56,scb,Timing
34,14 ต.ค. 2562 13:58,scb,Timing
35,19 พ.ค. 2566 13:30,scb,Timing
36,10 ต.ค. 2563 01:31,scb,Timing
37,15 เม.ย. 2565 13:15,scb,Timing
38,31 พ.ค. 2562 17:51,scb,Timing
39,11 มี.ค. 2565 15:57,scb,Timing
40,23 ม.ค. 2562 12:40,scb,Timing
41,01 มี.ค. 2565 23:54,scb,Timing
42,15 มี.ค. 2562 03:55,scb,Timing
43,03 ก.ค. 2563 15:08,scb,Timing
44,12 มิ.ย. 2564 18:37,scb,Timing
45,14 มิ.ย. 2562 22:41,scb,Timing
46,06 มิ.ย. 2562 20:34,scb,Timing
47,12 ต.ค. 2564 12:08,scb,Timing
48,18 เม.ย. 2562 18:53,scb,Timing
49,03 มี.ค. 2564 00:10,scb,Timing
50,28 ต.ค. 2563 02:58,scb,Timing
51,20 เม.ย. 2564 22:06,scb,Timing
52,12 ม.ค. 2565 07:27,scb,Timing
53,18 ต.ค. 2563 19:45,scb,Timing
54,17 ก.ค. 2565 05:26,scb,Timing
55,30 มี.ค. 2566 04:32,scb,Timing
56,16 ก.ย. 2563 09:17,scb,Timing
57,20 มี.ค. 2566 19:06,scb,Timing
58,26 ม.ค. 2562 02:16,scb,Timing
59,13 ก.ย. 2564 12:26,scb,Timing
60,14 ก.ค. 2566 19:58,scb,Timing
61,31 ธ.ค. 2565 00:15,scb,Timing
62,02 ก.ย. 2562 22:41,scb,Timing
63,11 ส.ค. 2564 10:38,scb,Timing
64,15 มี.ค. 2562 04:53,scb,Timing
65,02 ก.ย. 2565 11:24,scb,Timing
66,01 ก.ค. 2565 06:29,scb,Timing
67,03 พ.ค. 2565 04:53,scb,Timing
68,02 ก.ค. 2565 09:43,scb,Timing
69,23 ก.พ. 2565 22:49,scb,Timing
70,06 ส.ค. 2566 00:14,scb,Timing
71,14 ต.ค. 2563 10:15,scb,Timing
72,06 ต.ค. 2566 13:52,scb,Timing
73,23 ส.ค. 2566 00:54,scb,Timing
74,29 ก.พ. 2565 04:00,scb,Timing
75,17 เม.ย. 2566 17:10,scb,Timing
76,24 เม.ย. 2562 12:12,scb,Timing
77,01 ธ.ค. 2562 05:23,scb,Timing
78,24 พ.ย. 2566 13:03,scb,Timing
79,05 ก.ย. 2563 22:29,scb,Timing
80,10 ก.พ. 2566 22:27,scb,Timing
